Season,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,AvgH,AvgD,AvgA
2023-24,B1,28/07/2023,St. Gilloise,Anderlecht,2,0,H,10,5,3,2,16,13,3,3,5,3,0,0,2.1,3.3,3.2,2.21,3.46,3.1
2023-24,B1,29/07/2023,Eupen,Westerlo,2,2,D,13,22,6,5,14,7,1,4,1,0,0,0,3.4,3.3,2.05,3.36,3.46,2.11
2023-24,B1,29/07/2023,Charleroi,Oud-Heverlee Leuven,1,1,D,4,19,2,5,7,12,2,6,3,1,1,0,1.95,3.5,3.5,1.99,3.59,3.56
2023-24,B1,29/07/2023,RWD Molenbeek,Genk,0,4,A,10,28,4,10,11,11,2,6,1,0,0,0,3.5,3.6,1.85,3.6,3.69,1.94
2023-24,B1,30/07/2023,Antwerp,Cercle Brugge,1,0,H,15,8,4,1,15,13,7,7,0,2,0,0,1.75,3.5,4.2,1.82,3.61,4.18
2023-24,B1,30/07/2023,Gent,Kortrijk,3,2,H,17,10,4,3,5,9,7,5,1,4,0,0,1.33,4.75,8,1.32,5.23,8.52
2023-24,B1,30/07/2023,Club Brugge,Mechelen,1,1,D,21,9,5,2,8,9,4,3,2,2,1,0,1.45,4.5,5.25,1.47,4.57,6.16
2023-24,B1,30/07/2023,St Truiden,Standard,1,0,H,11,7,3,3,13,11,3,2,1,1,0,0,2.63,3.2,2.63,2.64,3.26,2.63
2023-24,B1,04/08/2023,Standard,St. Gilloise,0,1,A,8,24,3,8,9,12,2,13,4,1,1,0,3.75,3.6,1.91,3.55,3.61,1.99
2023-24,B1,05/08/2023,Genk,Eupen,0,1,A,28,5,3,2,11,11,7,2,1,2,0,0,1.33,5.25,8.5,1.29,5.67,8.88
2023-24,B1,05/08/2023,Cercle Brugge,Charleroi,2,0,H,19,8,3,3,11,13,4,5,0,3,0,0,1.85,3.8,4,1.87,3.75,3.8
2023-24,B1,05/08/2023,Oud-Heverlee Leuven,RWD Molenbeek,1,2,A,18,15,5,4,14,18,15,6,4,1,0,0,1.75,4,4.2,1.78,3.87,4.1
2023-24,B1,06/08/2023,Anderlecht,Antwerp,1,0,H,9,5,2,3,9,19,3,6,1,1,0,0,2.55,3.4,2.63,2.55,3.5,2.58
2023-24,B1,06/08/2023,Mechelen,Gent,0,1,A,14,12,2,3,14,14,7,3,2,3,0,0,3.8,4,1.8,3.81,3.88,1.83
2023-24,B1,06/08/2023,Westerlo,Club Brugge,0,1,A,11,20,3,8,7,9,4,5,1,0,0,0,3.6,3.75,1.95,3.48,3.72,1.97
2023-24,B1,06/08/2023,Kortrijk,St Truiden,0,1,A,8,14,1,4,10,12,0,14,1,2,0,0,2.8,3.4,2.45,2.8,3.36,2.44
2023-24,B1,11/08/2023,Antwerp,Kortrijk,6,0,H,25,4,9,1,8,11,4,1,0,2,0,0,1.25,5.25,9.5,1.26,5.86,10.02
2023-24,B1,12/08/2023,RWD Molenbeek,Mechelen,1,0,H,18,9,8,4,12,11,7,4,3,1,0,0,2.15,3.5,2.9,2.24,3.67,2.9
2023-24,B1,12/08/2023,St. Gilloise,Oud-Heverlee Leuven,5,1,H,16,4,9,1,10,15,0,3,1,4,0,0,1.5,4,5.75,1.47,4.61,6.06
2023-24,B1,13/08/2023,St Truiden,Anderlecht,0,1,A,14,9,5,3,13,15,6,1,4,5,0,1,3.2,3.4,2.05,3.26,3.41,2.15
2023-24,B1,13/08/2023,Cercle Brugge,Genk,0,1,A,13,10,2,3,8,20,5,3,2,3,0,0,2.75,3.5,2.25,2.75,3.67,2.33
2023-24,B1,13/08/2023,Eupen,Club Brugge,0,5,A,9,13,1,7,9,13,4,6,0,2,0,0,5.25,4,1.5,5.28,4.29,1.55
2023-24,B1,13/08/2023,Charleroi,Standard,1,1,D,18,7,3,2,11,12,13,2,3,2,1,1,1.95,3.5,3.4,2.04,3.59,3.36
2023-24,B1,13/08/2023,Westerlo,Gent,1,3,A,14,18,4,9,10,14,4,10,1,1,0,0,3.3,3.4,2,3.44,3.79,1.96
2023-24,B1,18/08/2023,Oud-Heverlee Leuven,Antwerp,1,1,D,10,13,2,4,16,10,7,7,4,2,1,0,5.25,4,1.62,4.66,4.07,1.66
2023-24,B1,19/08/2023,Standard,Cercle Brugge,0,1,A,7,16,3,4,10,11,3,2,2,2,0,0,2.9,3.4,2.38,2.85,3.49,2.35
2023-24,B1,19/08/2023,Mechelen,St. Gilloise,4,0,H,10,14,7,1,9,10,4,6,0,2,0,0,4.33,3.75,1.75,4.2,3.93,1.75
2023-24,B1,20/08/2023,Anderlecht,Westerlo,2,1,H,24,18,7,3,7,13,6,2,1,3,0,0,1.83,3.75,4,1.87,3.69,3.86
2023-24,B1,20/08/2023,Genk,Charleroi,0,0,D,23,7,7,3,11,13,11,4,0,0,0,0,1.53,4.2,5.5,1.56,4.37,5.19
2023-24,B1,20/08/2023,Gent,St Truiden,2,2,D,19,14,5,3,11,9,7,2,2,2,0,0,1.4,4.75,7.5,1.41,4.71,6.99
2023-24,B1,20/08/2023,Club Brugge,RWD Molenbeek,7,1,H,23,9,9,3,10,12,8,3,0,1,0,0,1.29,5.75,9.5,1.28,5.78,9.33
2023-24,B1,20/08/2023,Kortrijk,Eupen,1,3,A,13,15,4,8,15,15,5,9,5,4,1,0,2.25,3.5,3,2.27,3.58,2.89
2023-24,B1,26/08/2023,Westerlo,Mechelen,2,3,A,11,17,4,5,8,9,5,4,0,3,0,0,2.2,3.5,3.1,2.17,3.69,3.04
2023-24,B1,26/08/2023,Eupen,Oud-Heverlee Leuven,3,1,H,17,22,4,5,15,9,3,5,1,2,0,0,3,3.6,2.2,2.96,3.68,2.22
2023-24,B1,26/08/2023,Kortrijk,Standard,1,1,D,19,23,6,6,7,12,7,10,0,2,0,0,3,3.4,2.3,2.97,3.54,2.27
2023-24,B1,27/08/2023,St Truiden,Cercle Brugge,0,2,A,20,25,4,8,8,18,8,8,1,1,0,0,3.25,3.3,2.2,3.16,3.36,2.24
